,word,pos,lemma
0,abilities,NOUN,ability
1,accessories,NOUN,accessory
2,accountabilities,NOUN,accountability
3,activities,NOUN,activity
4,agencies,NOUN,agency
5,allies,NOUN,ally
6,amnesties,NOUN,amnesty
7,am,VERB,be
8,analyses,NOUN,analysis
9,antiquities,NOUN,antiquity
10,apologies,NOUN,apology
11,appendices,NOUN,appendix
12,applies,VERB,apply
13,are,VERB,be
14,armies,NOUN,army
15,arose,VERB,arise
16,ate,VERB,eat
17,atrocities,NOUN,atrocity
18,authorities,NOUN,authority
19,babies,NOUN,baby
20,bakeries,NOUN,bakery
21,bankruptcies,NOUN,bankruptcy
22,bases,NOUN,basis
23,batteries,NOUN,battery
24,beardies,NOUN,beardy
25,became,VERB,become
26,been,VERB,be
27,began,VERB,begin
28,begun,VERB,begin
29,bent,VERB,bend
30,blew,VERB,blow
31,bodies,NOUN,body
32,bore,VERB,bear
33,born,VERB,bear
34,bought,VERB,buy
35,broken,VERB,break
36,broke,VERB,break
37,buddies,NOUN,buddy
38,built,VERB,build
39,butterflies,NOUN,butterfly
40,came,VERB,come
41,candies,NOUN,candy
42,capabilities,NOUN,capability
43,carries,VERB,carry
44,casualties,NOUN,casualty
45,categories,NOUN,category
46,caught,VERB,catch
47,cavies,NOUN,cavy
48,centuries,NOUN,century
49,chemistries,NOUN,chemistry
50,children,NOUN,child
51,chosen,VERB,choose
52,chose,VERB,choose
53,cities,NOUN,city
54,communities,NOUN,community
55,companies,NOUN,company
56,complexities,NOUN,complexity
57,contemporaries,NOUN,contemporary
58,contingencies,NOUN,contingency
59,copies,NOUN,copy
60,counterparties,NOUN,counterparty
61,counties,NOUN,county
62,countries,NOUN,country
63,countrymen,NOUN,countryman
64,crept,VERB,creep
65,cries,VERB,cry
66,criteria,NOUN,criterion
67,deliveries,NOUN,delivery
68,deputies,NOUN,deputy
69,destinies,NOUN,destiny
70,did,VERB,do
71,difficulties,NOUN,difficulty
72,dignitaries,NOUN,dignitary
73,does,VERB,do
74,done,VERB,do
75,drew,VERB,draw
76,dries,VERB,dry
77,drove,VERB,drive
78,dualities,NOUN,duality
79,duties,NOUN,duty
80,eaten,VERB,eat
81,eighties,NOUN,eighty
82,embassies,NOUN,embassy
83,emergencies,NOUN,emergency
84,enemies,NOUN,enemy
85,enquiries,NOUN,enquiry
86,entities,NOUN,entity
87,ethicities,NOUN,ethicity
88,facilities,NOUN,facility
89,fallen,VERB,fall
90,families,NOUN,family
91,fancies,VERB,fancy
92,feet,NOUN,foot
93,fell,VERB,fall
94,felt,VERB,feel
95,festivities,NOUN,festivity
96,fisheries,NOUN,fishery
97,flew,VERB,fly
98,flies,VERB,fly
99,flown,VERB,fly
100,foresaw,VERB,foresee
101,forgotten,VERB,forget
102,forgot,VERB,forget
103,fought,VERB,fight
104,found,VERB,find
105,fries,NOUN,fry
106,frozen,VERB,freeze
107,galleries,NOUN,gallery
108,gave,VERB,give
109,gentlemen,NOUN,gentleman
110,goes,VERB,go
111,gone,VERB,go
112,gotten,VERB,get
113,got,VERB,get
114,grandchildren,NOUN,grandchild
115,grew,VERB,grow
116,groceries,NOUN,grocery
117,guaranties,NOUN,guaranty
118,guardsmen,NOUN,guardsman
119,gunmen,NOUN,gunman
120,had,VERB,have
121,has,VERB,have
122,held,VERB,hold
123,her,PRON,she
124,hickies,NOUN,hicky
125,hidden,VERB,hide
126,hid,VERB,hide
127,hierarchies,NOUN,hierarchy
128,him,PRON,he
129,hirier,VERB,hire
130,his,PRON,he
131,hostilities,NOUN,hostility
132,hung,VERB,hang
133,identifies,VERB,identify
134,implies,VERB,imply
135,inches,NOUN,inch
136,indices,NOUN,index
137,industries,NOUN,industry
138,inequities,NOUN,inequity
139,injuries,NOUN,injury
140,inquiries,NOUN,inquiry
141,irregularities,NOUN,irregularity
142,is,VERB,be
143,justifies,VERB,justify
144,kept,VERB,keep
145,knew,VERB,know
146,knives,NOUN,knife
147,ladies,NOUN,lady
148,laid,VERB,lay
149,left,VERB,leave
150,liabilities,NOUN,liability
151,liberties,NOUN,liberty
152,lives,NOUN,life
153,loss,VERB,lose
154,lost,VERB,lose
155,made,VERB,make
156,memories,NOUN,memory
157,men,NOUN,man
158,me,PRON,i
159,mercenaries,NOUN,mercenary
160,met,VERB,meet
161,mice,NOUN,mouse
162,minorities,NOUN,minority
163,miseries,NOUN,misery
164,mommies,NOUN,mommy
165,monarchies,NOUN,monarchy
166,monies,NOUN,money
167,municipalities,NOUN,municipality
168,mysteries,NOUN,mystery
169,nationalities,NOUN,nationality
170,necessities,NOUN,necessity
171,opportunities,NOUN,opportunity
172,our,PRON,we
173,overtook,VERB,overtake
174,paid,VERB,pay
175,parties,NOUN,party
176,pastries,NOUN,pastry
177,patties,NOUN,patty
178,penalties,NOUN,penalty
179,philosophies,NOUN,philosophy
180,phonies,NOUN,phony
181,policemen,NOUN,policeman
182,policies,NOUN,policy
183,possibilities,NOUN,possibility
184,prepaid,VERB,prepay
185,primaries,NOUN,primary
186,priorities,NOUN,priority
187,properties,NOUN,property
188,puppies,NOUN,puppy
189,queries,NOUN,query
190,ran,VERB,run
191,realities,NOUN,reality
192,refineries,NOUN,refinery
193,remedies,NOUN,remedy
194,replies,NOUN,reply
195,replies,VERB,reply
196,responsibilities,NOUN,responsibility
197,ridden,VERB,ride
198,rode,VERB,ride
199,rose,VERB,rise
200,said,VERB,say
201,sat,VERB,sit
202,saw,VERB,see
203,secretaries,NOUN,secretary
204,securities,NOUN,security
205,sent,VERB,send
206,shelves,NOUN,shelf
207,shot,VERB,shoot
208,signatories,NOUN,signatory
209,silkies,NOUN,silky
210,similarities,NOUN,similarity
211,sixties,NOUN,sixty
212,skies,NOUN,sky
213,slept,VERB,sleep
214,sold,VERB,sell
215,sought,VERB,seek
216,spent,VERB,spend
217,spies,NOUN,spy
218,spoken,VERB,speak
219,spoke,VERB,speak
220,stolen,VERB,steal
221,stole,VERB,steal
222,stood,VERB,stand
223,stories,NOUN,story
224,strategies,NOUN,strategy
225,struck,VERB,strike
226,stuck,VERB,stick
227,studies,NOUN,study
228,studies,VERB,study
229,stunk,VERB,stink
230,subsidies,NOUN,subsidy
231,summaries,NOUN,summary
232,supplies,VERB,supply
233,swept,VERB,sweep
234,sworn,VERB,swear
235,taught,VERB,teach
236,technologies,NOUN,technology
237,teeth,NOUN,tooth
238,tendencies,NOUN,tendency
239,territories,NOUN,territory
240,their,PRON,there
241,their,PRON,they
242,them,PRON,they
243,theories,NOUN,theory
244,therapies,NOUN,therapy
245,thieves,NOUN,thief
246,thought,VERB,think
247,threw,VERB,throw
248,told,VERB,tell
249,took,VERB,take
250,torn,VERB,tear
251,tributaries,NOUN,tributary
252,tries,NOUN,try
253,tries,VERB,try
254,twinkies,NOUN,twinky
255,understood,VERB,understand
256,universities,NOUN,university
257,us,PRON,we
258,utilities,NOUN,utility
259,varieties,NOUN,variety
260,veggies,NOUN,veggy
261,verifies,VERB,verify
262,warranties,NOUN,warranty
263,was,VERB,be
264,wearies,VERB,weary
265,went,VERB,go
266,were,VERB,be
267,what,VERB,want
268,where,VERB,were
269,withdrew,VERB,withdraw
270,wives,NOUN,wife
271,woken,VERB,wake
272,woke,VERB,wake
273,wolves,NOUN,wolf
274,women,NOUN,woman
275,won,VERB,win
276,wore,VERB,wear
277,worn,VERB,wear
278,worries,NOUN,worry
279,written,VERB,write
280,wrote,VERB,write
